"filename", "language", "JSON5", "ArkTS", "TypeScript", "JSON", "XML", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\element\color.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 8
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\element\float.json", "JSON", 0, 0, 0, 8, 0, 0, 1, 9
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\element\string.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 16
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\chat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\firm.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\home.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\layered_image.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 7
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\left_arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\mine.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\pending_requests.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\post_job.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\resume.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\resume1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\resume2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\right_arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\setting.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\uniseek_text_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\media\uniseek_text_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\profile\backup_config.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
